Time,ProdWnow,ConsWnow,ProdWhToday,ConsWhToday,ProdWh7day,ConsWh7day,ProdWhLife,ConsWhLife
Thu Mar 22 19:15:05 2018, 1212, 167, 73937, 51020, 342118, 350264, 1664816, 2631993
Thu Mar 22 19:30:05 2018, 689, 377, 74172, 51104, 342236, 350241, 1665051, 2632077
Thu Mar 22 19:45:05 2018, 296, 399, 74289, 51186, 342302, 350186, 1665168, 2632159
Thu Mar 22 20:00:07 2018, 120, 292, 74341, 51273, 342349, 350144, 1665220, 2632246
Thu Mar 22 20:15:05 2018, 0, 385, 74356, 51351, 342364, 350092, 1665235, 2632324
Thu Mar 22 20:30:06 2018, 0, 290, 74356, 51465, 342364, 350080, 1665235, 2632438
Thu Mar 22 20:45:06 2018, 0, 667, 74356, 51585, 342364, 350109, 1665235, 2632558
Thu Mar 22 21:00:06 2018, 0, 468, 74356, 51683, 342364, 350101, 1665235, 2632656
Thu Mar 22 21:15:05 2018, 0, 418, 74356, 51811, 342364, 350155, 1665235, 2632784
Thu Mar 22 21:30:06 2018, 0, 419, 74356, 51934, 342364, 350181, 1665235, 2632907
Thu Mar 22 21:45:05 2018, 0, 545, 74356, 52062, 342364, 350202, 1665235, 2633035
Thu Mar 22 22:00:07 2018, 0, 542, 74356, 52188, 342364, 350250, 1665235, 2633161
Thu Mar 22 22:15:06 2018, 0, 518, 74356, 52312, 342364, 350273, 1665235, 2633285
Thu Mar 22 22:30:06 2018, 0, 512, 74356, 52441, 342364, 350286, 1665235, 2633414
Thu Mar 22 22:45:05 2018, 0, 325, 74356, 52591, 342364, 350329, 1665235, 2633564
Thu Mar 22 23:00:07 2018, 0, 320, 74356, 52696, 342364, 350339, 1665235, 2633669
Thu Mar 22 23:15:05 2018, 0, 3896, 74356, 53364, 342364, 350899, 1665235, 2634337
Thu Mar 22 23:30:06 2018, 0, 438, 74356, 54034, 342364, 351495, 1665235, 2635007
Thu Mar 22 23:45:05 2018, 0, 3267, 74356, 54137, 342364, 351515, 1665235, 2635110
Fri Mar 23 00:00:07 2018, 0, 3884, 74356, 55078, 342364, 351917, 1665235, 2636051
Fri Mar 23 00:15:05 2018, 0, 419, 0, 0, 342364, 351548, 1665235, 2636343
Fri Mar 23 00:30:06 2018, 0, 3687, 0, 507, 342364, 351963, 1665235, 2636850
Fri Mar 23 00:45:06 2018, 0, 3732, 0, 1438, 342364, 352247, 1665235, 2637781
Fri Mar 23 01:00:07 2018, 0, 287, 0, 1617, 342364, 351778, 1665235, 2637960
Fri Mar 23 01:15:06 2018, 0, 3924, 0, 2278, 342364, 352355, 1665235, 2638621
Fri Mar 23 01:30:06 2018, 0, 3817, 0, 3238, 342364, 352647, 1665235, 2639581
Fri Mar 23 01:45:05 2018, 0, 377, 0, 4495, 342364, 353253, 1665235, 2640838
Fri Mar 23 02:00:06 2018, 0, 277, 0, 4574, 342364, 353260, 1665235, 2640917
Fri Mar 23 02:15:05 2018, 0, 3778, 0, 5417, 342364, 353226, 1665235, 2641760
